DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2021-04-01 05:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,4.533,5.107,4.77215,80.6,83.1,81.84167,6.013,10.39,8.30568,20,38,27.13333,0,0,0,-99,-99,-99,-0.08,1.35,0.63817
2021-04-04 13:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,11.08,12.3,11.77228,0.88,0.947,0.88353,1.09,4.93,2.75877,2,354,98.15789,0,0,0,6.7,6.7,6.7,10.34,12.84,11.32158
2021-04-01 13:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,7.624,8.1,7.84118,0.879,0.947,0.88258,1.25,3.81,2.51035,8,350,71.24561,0,0,0,6.7,6.7,6.7,5.84,8.08,7.01509
2021-04-04 01:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,10.93,12.07,11.26831,69.9,79.93,76.85881,5.282,8.72,6.77141,198,247,220.11864,0,0,0,-99,-99,-99,8.54,10.04,9.31186
2021-04-02 08:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,8.74,9.68,9.29667,68.8,74.56,71.4515,1.17,4.53,2.86333,185,269,219.88333,0,0,0,20.5,25.4,23.09,6.83,11.31,8.89417
2021-04-03 02:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,10,10.4,10.11356,72,74,73.16949,2.2,4.2,3.12542,225,274,246.98305,0,0,0,-99,-99,-99,8.73,9.76,9.22
2021-04-02 23:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,10.6,11.4,10.97544,64,69,66.68421,2.9,5.7,4.17018,239,273,254.4386,0,0,0,-99,-99,-99,9.21,10.38,9.77737
2021-04-02 15:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,11.77,15.42,13.84814,51.36,64.28,56.53695,3.07,4.835,3.90434,187,222,203.27119,0,0,0,-99,-99,-99,10.7,15.06,13.34051
2021-04-01 04:00:00,BUYUKADA,AUTOMATED_WEATHER_SENSOR,4.398,4.938,4.51072,82.2,86.1,84.79836,6.495,10.01,8.22097,14,33,24.47541,0,0,0,-99,-99,-99,-0.19,1.03,0.31918
2021-04-01 14:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,7.8,9,8.34667,56,61,58.61667,2.9,5.6,4.29833,39,69,51.31667,0,0,0,-99,-99,-99,5.33,7.67,6.53033
2021-04-01 12:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,7.9,8.3,8.05833,83,87,85.78333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-03 20:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,13.14,14.9,14.14421,65.01,75.03,68.67596,0,5.01,2.40298,162,294,221.05263,0,0,0,15.5,16.3,15.91579,12.34,15.91,14.1193
2021-04-01 12:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,8.3,9.5,8.68966,55,59,56.87931,4.8,7.2,5.67069,46,66,58.05172,0,0,0,-99,-99,-99,5.68,7.5,6.40776
2021-04-03 09:00:00,USKUDAR_MGM,AUTOMATED_WEATHER_SENSOR,15.1,17.3,16.41,43,48,45.41667,2.5,7.2,4.64667,239,298,273.46667,0,0,0,-99,-99,-99,14.55,17.48,16.23717
2021-04-02 09:00:00,BESIKTAS_YILDIZ,ICING_SENSOR,9.48,10.5,9.94379,61.16,68.05,65.03914,0.61,5.09,2.82517,163,261,209.81034,0,0,0,25.6,29.1,27.35862,8.01,9.98,9.13379
2021-04-04 11:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,11.29,12.03,11.67123,0.88,0.947,0.88235,1.17,5.49,2.72228,2,354,158.19298,0,0,0,6.7,6.7,6.7,10.09,12.44,11.34509
2021-04-01 10:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,7.7,8,7.83,85,90,87.01667,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-01 03:00:00,BAYRAMOGLU_TUZLA,ICING_SENSOR,4.651,5.058,4.87424,0.879,0.947,0.8898,0.69,2.69,1.53203,3,354,102.16949,0,0.3,0.05593,6.7,6.7,6.7,3.43,5.32,4.41797
2021-04-01 11:00:00,SILE_ISAKOY,AUTOMATED_WEATHER_SENSOR,7.8,8.2,7.96833,84,87,86.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-03 01:00:00,SUBASI,ICING_SENSOR,10.66,11.04,10.84533,77.47,83.5,80.98317,1.393,3.472,2.51293,188,257,222.36667,0,0,0,10.4,10.7,10.53167,9.44,11,10.42317
2021-04-03 06:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,11.6,13.1,12.33,62,75,69.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 17:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,6.5,6.6,6.58,90,90,90,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 13:00:00,SUBASI,ICING_SENSOR,8.48,9.03,8.75483,89.4,90.9,89.90667,1.984,7.537,4.63053,25,78,51.58333,0,0,0,13,13.8,13.46167,5.51,7.93,6.81117
2021-04-02 15:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,12.3,14.7,13.72,55,65,59.43333,1.1,3.4,2.19,166,216,187.65,0,0,0,-99,-99,-99,12.06,15.36,13.96767
2021-04-01 13:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,8.5,9.3,8.9,74,78,76.48333,2.5,4.9,3.79833,5,360,19.1,0,0,0,-99,-99,-99,6.84,8.62,7.42967
2021-04-02 00:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,2.3,2.9,2.52,100,100,100,0.1,1.5,0.62,1,359,174.83333,0,0,0,-99,-99,-99,1.92,6.37,3.6895
2021-04-03 21:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,13.6,14.1,13.79833,77,80,78.33333,2.5,4.8,3.465,150,194,174.83333,0,0,0,-99,-99,-99,12.77,14.12,13.44583
2021-04-01 13:00:00,SILE_DARLIK,AUTOMATED_WEATHER_SENSOR,5.5,6,5.67833,90,90,90,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2021-04-04 14:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,8.2,8.5,8.32333,100,100,100,3.6,6,4.85333,36,61,50.63333,0,0,0,-99,-99,-99,5.68,6.92,6.26267
2021-04-02 07:00:00,BUYUKCEKMECE_MGM,AUTOMATED_WEATHER_SENSOR,9.1,10.2,9.77333,78,82,79.95,2.5,5.3,3.79167,197,227,213.56667,0,0,0,-99,-99,-99,7.27,9.14,8.48983
2021-04-02 19:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,9.2,9.9,9.55333,75,90,81.9,1.6,4.5,2.93167,224,258,242.83333,-99,-99,-99,-99,-99,-99,7.99,9.68,8.68383
2021-04-02 18:00:00,SILIVRI_ORMAN_SAHASI,AUTOMATED_WEATHER_SENSOR,8.3,9.5,8.96667,90,90,90,1,4.2,2.83333,198,245,229.20833,-99,-99,-99,-99,-99,-99,7.31,9.17,8.06417
2021-04-04 19:00:00,BEYKOZ_ANADOLU_FENERI,AUTOMATED_WEATHER_SENSOR,8,8.1,8.00667,100,100,100,3.9,6.4,5.205,49,65,55.06667,0,0.1,0.00167,-99,-99,-99,5.3,6.29,5.73683
